機關或單位,英文名稱,縣市別代碼,地址_行政區域代碼,地址_行政區域,地址_村里,地址_鄰,地址_路,地址_街,地址_段,地址_巷,地址_門牌號,地址_樓,市話,經度,緯度
大安派出所,Da-anPoliceStation,68000,68000080,八德區,,,和平路,,,頂橋巷,25,,(03)3644106,121.3248208,24.970419
八德分局,BadePrecinct,68000,68000080,八德區,,,興豐路,,,,1216,,(03)3731907,121.3086214,24.9382949
八德派出所,BadePoliceStation,68000,68000080,八德區,,,興豐路,,,,1216,,(03)3687644,121.3086214,24.9382949
廣興派出所,GuangxingPoliceStation,68000,68000080,八德區,,,廣興路,,,,829,,(03)3775124,121.2838266,24.9501101
高明派出所,GaomingPoliceStation,68000,68000080,八德區,,,永豐路,,,,160,,(03)3771790,121.2787061,24.9647974
八德交通分隊,BadeBranch,68000,68000080,八德區,,,興豐路,,,,1216,,(03)3732780,121.3086214,24.9382949
四維派出所,SiweiPoliceStation,68000,68000080,八德區,,,,,重慶街,,148,,(03)3662771,121.3027551,24.9559603
大園分局,DayuanPrecinct,68000,68000060,大園區,,,中正西路,,,,13,,(03)3866555,121.195741,25.0634017
潮音派出所,ChaoyinPoliceStation,68000,68000060,大園區,,,潮音北路,,,,473,,(03)3867677,121.1715365,25.08118
大園派出所,DayuanPoliceStation,68000,68000060,大園區,,,中正西路,,,,13,,(03)3862804,121.195741,25.0634017
三果派出所,SanguoPoliceStation,68000,68000060,大園區,,,三和路,,,,25,,(03)3936118,121.257167,25.0732019
埔心派出所,PuxinPoliceStation,68000,68000060,大園區,埔心里,,,,埔心街,,1,,(03)3811684,121.2244021,25.0542409
竹圍派出所,ZhuweiPoliceStation,68000,68000060,大園區,,,,,竹圍街,,10,,(03)3835089,121.2438005,25.104005
大園交通分隊,DayuanBranch,68000,68000060,大園區,,,,,園三街,,180,,(03)3837135,121.1789345,25.0574917
大溪分局,DaxiPrecinct,68000,68000030,大溪區,,,復興路,,一段,,385,,(03)3883851,121.2951797,24.8611606
內柵派出所,NeizhaPoliceStation,68000,68000030,大溪區,,,內柵路,,1段,,56,,(03)3883849,121.2812329,24.8593448
百吉派出所,BaijiPoliceStation,68000,68000030,大溪區,,,復興路,,2段,,209,,(03)3885884,121.3092506,24.8251006
三層派出所,SancengPoliceStation,68000,68000030,大溪區,,,復興路,,一段,,890,,(03)3882349,121.295029,24.8578485
大溪交通分隊,DaxiBranch,68000,68000030,大溪區,,,員林路,,一段,,198,,(03)3072240,121.277736,24.8962411
三元派出所,SanyuanPoliceStation,68000,68000030,大溪區,,,石園路,,,,53,,(03)3801040,121.2652707,24.8807248
圳頂派出所,ZundingPoliceStation,68000,68000030,大溪區,,,公園路,,,,46,,(03)3801287,121.283791,24.9048559
中新派出所,ZhongxinPoliceStation,68000,68000030,大溪區,,,大鶯路,,,,1479,,(03)3801853,121.3183889,24.9301409
永福派出所,YongfuPoliceStation,68000,68000030,大溪區,,,信義路,,,,1127,,(03)3885802,121.324083,24.8942399
南雅派出所,NanyaPoliceStation,68000,68000030,大溪區,,,復興路,,,,66,,(03)3883720,121.2902816,24.879885
內壢派出所,NeiliPoliceStation,68000,68000020,中壢區,,,中華路,,1段,,364,,(03)4553845,121.2556332,24.972119
普仁派出所,PurenPoliceStation,68000,68000020,中壢區,,,中山東路,,2段,,361,,(03)4562912,121.2386621,24.9540583
青埔派出所,QingpuPoliceStation,68000,68000020,中壢區,,,青埔路,,1段,,67,,(03)4531356,121.2105349,25.0138935
中壢分局,ZhongliPrecinct,68000,68000020,中壢區,,,延平路,,,,607,,(03)4221460,121.2223525,24.9541224
文化派出所,WenhuaPoliceStation,68000,68000020,中壢區,,,吉林路,,,,60,,(03)4528348,121.2452712,24.9790503
仁愛派出所,Ren-aiPoliceStation,68000,68000020,中壢區,,,華美一路,,,,101,,(03)4563524,121.254495,24.9726275
興國派出所,Xing-guoPoliceStation,68000,68000020,中壢區,,,志廣路,,,,38,,(03)4258325,121.20873,24.96036
龍興派出所,LongxingPoliceStation,68000,68000020,中壢區,,,龍勇路,,,,139,,(03)4285776,121.2344039,24.9384239
