推文數,標題,連結,日期,內文
70,[情報] LINE購物驚喜紅包 滿$199元回饋30元,https://www.ptt.cc/bbs/Lifeismoney/M.1744377914.A.7F1.html,4/11,"久違的超過10元的紅包

* 不適用無回饋(0%)商品
* 限訂單金額滿199元
* 限2025/04/11 18:00 ~ 2025/04/26 23:59下單

綁定期限
收到訂單成立通知後，請於2025/04/28 23:59前完成綁定

排除商店
以下商店排除使用：蝦皮商城、hoi!好好生活、蝦皮購物、家樂福線上購物、寶雅線上買
、Apple Music、EcLife良興購物網(舊)、Her森森購物網（舊）、HOLA、萊爾富活動門市
、舒潔/好奇/靠得住 momo旗艦館、Yahoo奇摩拍賣、特力屋、BVLGARI寶格麗 期間限定網
路精品店、Apple TV+、特力+購物網

排除訂購管道
以下訂購管道排除使用：
LINE旅遊

--"
4,line禮物 折9元，最低1元換麥香（飲料-分眾）,https://www.ptt.cc/bbs/Lifeismoney/M.1744389682.A.879.html,4/12,"line禮物推播，9元折扣券
折完1元可買麥香，16元可買無糖麥茶、原萃，還有飲冰室、礦泉水，便！
http://i.imgur.com/BEseRU2.jpg
http://i.imgur.com/OEdDTxO.jpg
http://i.imgur.com/s6FbJ1g.jpg
http://i.imgur.com/ClW7Rbk.jpg
-----
Sent from JPTT on my Samsung SM-G781B.

--"
9,Re: [情報] LINE MOBILE吃到飽232元、輕量40元 中華線,https://www.ptt.cc/bbs/Lifeismoney/M.1744399107.A.0EC.html,4/12,"※ 引述《danny0830 (丹尼)》之銘言：
:
https://www.linemobile-tw.com/campaign_2024annual.html
: 周年慶活動
: $499/月
: 4G限速21M吃到飽
: 申請享多項好康
: LINE POINTS：200點(單次)
: LINE 代幣 ：150 枚
: LINE MUSIC：FUN Plus 30 天序號(1組)
: [迎春禮] LINE POINTS：2,000點(單次)
: [周年慶加碼] LINE POINTS：1000點(單次)
: (499*12-3200)/12=232元/月
: $199/月
: 4G輕量上網3.2GB
: 申請享多項好康
: LINE POINTS：100點(單次)
: LINE 代幣 ：150 枚
: LINE MUSIC：FUN Plus 30 天序號(1組)
: [迎春禮] LINE POINTS：800點(單次)
: [周年慶加碼] LINE POINTS：1000點(單次)
: (199*12-1900)/12=40/月
: 走中華電信的線路
: 這價格無敵了吧
去年有申辦line mobile的
合約應該都到期或快到期了吧！
我當初也有辦1門
看最近也沒什麼其他低月租的方案可以攜碼繼續養這號碼
所以合約到就會終止了吧
記得不繼續使用的要去終止或續約、攜碼
不然無約每個月就要繳199了
電信合併後應該沒什麼低月租可以辦了吧！

-----
Sent from JPTT on my Asus ASUS_I004D.

--"
6,Re: [情報] LINE MOBILE吃到飽232元、輕量40元 中華線,https://www.ptt.cc/bbs/Lifeismoney/M.1744403665.A.116.html,4/12,": 去年有申辦line mobile的
: 合約應該都到期或快到期了吧！
: 我當初也有辦1門
: 看最近也沒什麼其他低月租的方案可以攜碼繼續養這號碼
: 所以合約到就會終止了吧
: 記得不繼續使用的要去終止或續約、攜碼
: 不然無約每個月就要繳199了
: 電信合併後應該沒什麼低月租可以辦了吧！
如果這隻是你的第二門號
建議所有到期的都轉台哥大預付卡
因為費率低
通通1.8
意思是 你打市話或是網外
一分鐘1.8元

中華是市話和網外六元
費率差很多

除非是有固定的人要熱線
不然一般你根本不會知道通訊錄內的人是哪家門號業者
與其去賭要聯絡的對象是不是網內
不如辦可見的最低資費來打

--"
0,[情報] PChome明天搶拉麵道3入$9拿鐵$18,https://www.ptt.cc/bbs/Lifeismoney/M.1744457106.A.F4A.html,4/12,"明天PChome的搶購品
9元的拉麵道3入包裝
https://reurl.cc/M3838p
https://i.imgur.com/cNaxDaU.png
還有18元的全家拿鐵(9:00、10:00、11:00搶)
https://reurl.cc/3KxKxl
https://i.imgur.com/EhYMMOw.png
據以往經驗12點開搶的數量比較多比較好搶，拉麵道平常也要100出頭左右，9元能買到蠻
省的

不過這次的活動有多一點，有一個是去臉書留言抽獎，大獎是Marshall Willen 迷你攜帶
式藍牙喇叭，活動主頁面點進去就可以看到活動
>>
https://reurl.cc/o8785q
我這邊放活動主頁面的網址，臉書的抽獎網址就不另外放了

這次周日的加碼活動也還有
>>00:00-23:59 LINE購物日用/食品指定品5%回饋(上限100)
>>20:00-23:59 滿2000有10%回饋(上限200)

以上

--"
10,[情報] PChome Line導購4%回饋,https://www.ptt.cc/bbs/Lifeismoney/M.1744297066.A.C3B.html,4/10,"PChome今晚22:00~24:00有line導購4%回饋
很久沒用line導購了
剛好要買的PChome商品還能用101-100的券
回饋4%的LP不無小補
再搭配之前搶的悠遊付20%的券有回饋50
我的悠遊付是綁定兆豐利多御璽卡
還能參加12大行動支付的活動(需登錄)

我剛好可以combo到以上活動很開心
分享給大家







--"
55,[情報] line 貼圖表情貼 1折,https://www.ptt.cc/bbs/Lifeismoney/M.1744343238.A.FD2.html,4/11,"有幾個還不錯
六元就是買！
https://i.imgur.com/Xccqiqk.jpeg
https://store.line.me/stickershop/editorspick/10724/zh-Hant
----
Sent from
BePTT
--"
6,[情報] Line禮物一點送好友好運最高可拿5200點,https://www.ptt.cc/bbs/Lifeismoney/M.1744349044.A.C97.html,4/11,"LINE禮物1點送禮活動又來了
https://giftshop-tw.line.me/voucher/322294695
活動期間送好友指定1點兌商品
送禮者與收禮者皆可獲得1次好禮機會
單一LINE帳號限送好友3次
送禮者依送禮次數
最高可獲得3次好禮機會
收禮者依收禮次數
最高可獲得的好禮機會次數無上限
並最高有機會獲得LINE POINTS 5200點！

另外LINE禮物新客
還能額外獲得LINE禮物30元優惠券一張
新客資格指2021.06.28後未購買過LINE禮物的用戶。

花了3P，拿到1券2點QQ

--"
9,[情報] 麥當勞轉蜜系列買5送5,https://www.ptt.cc/bbs/Lifeismoney/M.1744179550.A.B2C.html,4/09,"https://i.imgur.com/hFcJUy9.png
麥當勞LINE官方購買

一杯33元

效期30天

--"
15,[情報] apple line導購限定商品7%,https://www.ptt.cc/bbs/Lifeismoney/M.1744219361.A.661.html,4/10,"https://i.imgur.com/NFsnlTB.jpeg
雖然不是全品項，但也是蠻夠用
iPhone跟Mac系列也是7%
好像只有4/10限定
我自己是秒下單了iPad pro第四代 128gb整修品
扣完應該是跟隔壁版二手價格差不多
而且多了一年保固

--"
